Dataset: CIFAR10.
Files already downloaded and verified
Files already downloaded and verified
10
The number of class in our training set is  10
Batch size: 2048 Number of channels: 3 input height: 32 input width: 32
# of model parameters: 11181642
<class 'models.resnet.ResNet'>
[epoch: 95] (11/25) | Loss: 0.2488 | top1: 98.4819 | top5: 100.0000
[epoch: 95] (21/25) | Loss: 0.2404 | top1: 98.8607 | top5: 100.0000
[epoch: 96] (1/25) | Loss: 0.2200 | top1: 99.4629 | top5: 100.0000
[epoch: 96] (11/25) | Loss: 0.2320 | top1: 99.1167 | top5: 99.9956
[epoch: 96] (21/25) | Loss: 0.2333 | top1: 99.0653 | top5: 99.9977
[epoch: 97] (1/25) | Loss: 0.2520 | top1: 98.0469 | top5: 100.0000
[epoch: 97] (11/25) | Loss: 0.2317 | top1: 98.9835 | top5: 100.0000
[epoch: 97] (21/25) | Loss: 0.2310 | top1: 98.9769 | top5: 100.0000
[epoch: 98] (1/25) | Loss: 0.2272 | top1: 99.3164 | top5: 100.0000
[epoch: 98] (11/25) | Loss: 0.2252 | top1: 99.1522 | top5: 99.9956
[epoch: 98] (21/25) | Loss: 0.2278 | top1: 99.0513 | top5: 99.9977
[epoch: 99] (1/25) | Loss: 0.2171 | top1: 99.3164 | top5: 100.0000
[epoch: 99] (11/25) | Loss: 0.2377 | top1: 98.5218 | top5: 100.0000
[epoch: 99] (21/25) | Loss: 0.2351 | top1: 98.6305 | top5: 99.9977
[epoch: 100] (1/25) | Loss: 0.2458 | top1: 98.2422 | top5: 100.0000
[epoch: 100] (11/25) | Loss: 0.2485 | top1: 98.1534 | top5: 100.0000
[epoch: 100] (21/25) | Loss: 0.2517 | top1: 97.9957 | top5: 99.9977
[epoch: 101] (1/25) | Loss: 0.2430 | top1: 98.1445 | top5: 100.0000
[epoch: 101] (11/25) | Loss: 0.2827 | top1: 96.7951 | top5: 99.9911
[epoch: 101] (21/25) | Loss: 0.2691 | top1: 97.3633 | top5: 99.9953
[epoch: 102] (1/25) | Loss: 0.2841 | top1: 96.6797 | top5: 100.0000
[epoch: 102] (11/25) | Loss: 0.2510 | top1: 98.0336 | top5: 99.9956
